Age,Gender,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Time per Day (hrs),Material Level,IQ,Consistency,Health,Assessment Score,Health Description,Consistency_Num,Material_Level_Num,Student_Level_Num,Course_Level_Num
7,Male,Government Employee,High,Beginner,Intermediate,Biology,2.3,Intermediate,121,Irregular,1,62,Very Poor,0,2,1,2
14,Female,Business Owner,Low,Advanced,Advanced,Math,5.5,Intermediate,78,Regular,3,79,Average,1,2,3,3
7,Male,Engineer,Middle,Beginner,Beginner,Physics,1.6,Beginner,117,Regular,4,62,Good,1,1,1,1
18,Female,Business Owner,High,Advanced,Intermediate,Biology,1.2,Intermediate,86,Regular,3,70,Average,1,2,3,2
18,Female,Teacher,Low,Advanced,Advanced,Science,4.5,Intermediate,76,Irregular,1,49,Very Poor,0,2,3,3
15,Male,Farmer,High,Intermediate,Advanced,English,3.8,Advanced,113,Regular,1,65,Very Poor,1,3,2,3
15,Female,Business Owner,High,Advanced,Intermediate,Art,3.7,Intermediate,75,Regular,1,42,Very Poor,1,2,3,2
16,Male,Other,High,Advanced,Intermediate,Computer Science,3.2,Intermediate,107,Irregular,2,54,Poor,0,2,3,2
5,Male,Unemployed,High,Beginner,Beginner,Math,0.3,Beginner,73,Irregular,4,52,Good,0,1,1,1
8,Female,Unemployed,High,Beginner,Beginner,English,2.0,Intermediate,99,Irregular,3,73,Average,0,2,1,1
18,Female,Other,Low,Intermediate,Intermediate,Geography,1.6,Beginner,78,Irregular,1,35,Very Poor,0,1,2,2
8,Male,Other,Low,Beginner,Beginner,History,2.0,Beginner,103,Regular,4,69,Good,1,1,1,1
12,Male,Business Owner,Low,Intermediate,Intermediate,English,2.9,Advanced,102,Regular,5,93,Excellent,1,3,2,2
4,Female,Other,Middle,Beginner,Beginner,Biology,2.4,Intermediate,75,Irregular,2,44,Poor,0,2,1,1
14,Female,Business Owner,High,Advanced,Advanced,English,1.1,Advanced,133,Irregular,2,68,Poor,0,3,3,3
17,Male,Teacher,Middle,Advanced,Advanced,Geography,5.9,Advanced,134,Irregular,1,62,Very Poor,0,3,3,3
