Age,IQ,Time per Day (hrs),Assessment Score,Level of Student,Level of Course,Course Name,Consistency,Consistency_Num,Student_Level_Num,Course_Level_Num,Present Material Level,Relative Performance,Material Level,Present_Material_Level_Num,Material_Level_Num
8,102.89199572744783,0.8476269302020434,59,Advanced,Advanced,English,Regular,1,3,3,Advanced,-31,Beginner,3,1
12,91.12185301423456,0.8194247774251564,51,Intermediate,Advanced,History,Irregular,0,2,3,Beginner,-24,Beginner,1,1
14,114.18055523816932,0.2759470356119673,81,Beginner,Advanced,History,Regular,1,1,3,Intermediate,21,Advanced,2,3
13,104.22947935043102,0.8688266281204585,70,Advanced,Advanced,History,Regular,1,3,3,Advanced,-20,Beginner,3,1
18,97.1887698295489,0.752134489802642,54,Advanced,Beginner,Science,Regular,1,3,1,Advanced,-6,Intermediate,3,2
10,107.40994045431727,0.026129654116244197,59,Beginner,Intermediate,English,Regular,1,1,2,Beginner,14,Intermediate,1,2
7,106.49257820414587,0.13651658396964195,55,Beginner,Beginner,History,Irregular,0,1,1,Beginner,25,Beginner,1,1
10,74.94153341864521,1.3985706058841068,64,Beginner,Advanced,English,Regular,1,1,3,Intermediate,4,Intermediate,2,2
12,103.26111379248385,0.3682519884396862,53,Beginner,Advanced,Math,Irregular,0,1,3,Beginner,-7,Beginner,1,1
5,103.30775124168879,0.7160591833740027,89,Advanced,Intermediate,History,Irregular,0,3,2,Advanced,14,Intermediate,3,2
6,98.67367387345952,2.11996085681432,64,Intermediate,Advanced,Math,Regular,1,2,3,Beginner,-11,Advanced,1,3
13,98.84526095468065,1.1538452619299866,62,Intermediate,Beginner,History,Regular,1,2,1,Intermediate,17,Advanced,2,3
10,90.42316988234626,3.89079229178109,61,Beginner,Beginner,Math,Irregular,0,1,1,Beginner,31,Advanced,1,3
12,84.28987428294676,2.1646867442040785,74,Beginner,Beginner,Math,Irregular,0,1,1,Intermediate,44,Advanced,2,3
11,92.81090673512016,2.789040210551995,45,Beginner,Intermediate,English,Irregular,0,1,2,Beginner,0,Intermediate,1,2
13,113.81061799378244,3.3172270257682666,85,Advanced,Beginner,History,Regular,1,3,1,Advanced,25,Advanced,3,3
14,119.59665012510459,0.005960668700168032,99,Advanced,Intermediate,Math,Regular,1,3,2,Advanced,24,Advanced,3,3
12,105.04935777308549,1.7703473276608286,64,Intermediate,Advanced,Math,Regular,1,2,3,Intermediate,-11,Advanced,2,3
13,106.29017942319449,0.14099457310864738,81,Advanced,Intermediate,English,Regular,1,3,2,Intermediate,6,Advanced,2,3
12,98.51506125055617,1.2217155570753706,70,Advanced,Beginner,Math,Irregular,0,3,1,Intermediate,10,Advanced,2,3
12,83.82087557628284,0.7705630451106008,92,Beginner,Beginner,Science,Irregular,0,1,1,Beginner,62,Advanced,1,3
11,94.58635958752335,0.9198014524133179,94,Advanced,Advanced,English,Regular,1,3,3,Advanced,4,Advanced,3,3
16,106.92746126929799,0.22883938893432704,96,Advanced,Advanced,Math,Irregular,0,3,3,Advanced,6,Advanced,3,3
9,101.07216014578123,2.5256855449113833,88,Beginner,Advanced,Science,Irregular,0,1,3,Beginner,28,Advanced,1,3
12,120.799171676117,0.9676217994359726,81,Beginner,Beginner,Science,Regular,1,1,1,Beginner,51,Advanced,1,3
7,91.45856740003643,2.498228280626354,41,Beginner,Beginner,Math,Regular,1,1,1,Beginner,11,Advanced,1,3
17,91.97288692828624,0.4464054191980512,91,Intermediate,Beginner,Science,Regular,1,2,1,Intermediate,46,Advanced,2,3
9,125.16316791195091,0.9329616955879194,89,Intermediate,Intermediate,Math,Regular,1,2,2,Intermediate,29,Advanced,2,3
11,95.93162839415564,0.9809643062242844,84,Advanced,Beginner,Science,Irregular,0,3,1,Advanced,24,Advanced,3,3
15,89.76910777505536,1.1200385801144885,50,Advanced,Advanced,Science,Regular,1,3,3,Advanced,-40,Beginner,3,1
17,60.53067467554637,2.6134991231566707,87,Beginner,Intermediate,Science,Regular,1,1,2,Beginner,42,Advanced,1,3
